INFO:__main__:Trial 0 - NDCG: 0.9181360767957846, Hyperparameters: {'learning_rate': 0.9582295026456312, 'num_leaves': 75, 'max_depth': 3}
INFO:__main__:Trial 14 - NDCG: 0.9473532852319106, Hyperparameters: {'learning_rate': 0.8551454936325358, 'num_leaves': 115, 'max_depth': 7}
INFO:__main__:Trial 15 - NDCG: 0.916252392762391, Hyperparameters: {'learning_rate': 0.700563004101932, 'num_leaves': 194, 'max_depth': 12}
INFO:__main__:Trial 16 - NDCG: 0.9099102221295682, Hyperparameters: {'learning_rate': 0.6576715473124058, 'num_leaves': 132, 'max_depth': 7}
INFO:__main__:Trial 17 - NDCG: 0.8980389602243997, Hyperparameters: {'learning_rate': 0.9916582470885955, 'num_leaves': 116, 'max_depth': 13}
INFO:__main__:Trial 18 - NDCG: 0.9043152258187328, Hyperparameters: {'learning_rate': 0.8200388826547365, 'num_leaves': 163, 'max_depth': 20}
INFO:__main__:Trial 19 - NDCG: 0.8458708367045804, Hyperparameters: {'learning_rate': 0.7372566598249264, 'num_leaves': 251, 'max_depth': 8}
INFO:__main__:Trial 20 - NDCG: 0.9489914203419235, Hyperparameters: {'learning_rate': 0.8933359771085845, 'num_leaves': 242, 'max_depth': 7}
INFO:__main__:Trial 21 - NDCG: 0.909259396853755, Hyperparameters: {'learning_rate': 0.7473371001482604, 'num_leaves': 216, 'max_depth': 9}
INFO:__main__:Trial 22 - NDCG: 0.9111152725810586, Hyperparameters: {'learning_rate': 0.605170927943, 'num_leaves': 202, 'max_depth': 13}
INFO:__main__:Trial 23 - NDCG: 0.9187510625861556, Hyperparameters: {'learning_rate': 0.7165362687141076, 'num_leaves': 246, 'max_depth': 6}
INFO:__main__:Trial 24 - NDCG: 0.9178126265435284, Hyperparameters: {'learning_rate': 0.5845263098914502, 'num_leaves': 135, 'max_depth': 1}
INFO:__main__:Trial 25 - NDCG: 0.9023641071813175, Hyperparameters: {'learning_rate': 0.8976382810340657, 'num_leaves': 91, 'max_depth': 9}
INFO:__main__:Trial 0 - NDCG: 0.950682431648798, Hyperparameters: {'learning_rate': 0.20510600195388157, 'num_leaves': 230, 'max_depth': 8}
INFO:__main__:Trial 1 - NDCG: 0.9372113427671676, Hyperparameters: {'learning_rate': 0.12164114718977553, 'num_leaves': 92, 'max_depth': 8}
INFO:__main__:Trial 2 - NDCG: 0.9154574338942437, Hyperparameters: {'learning_rate': 0.178509706386641, 'num_leaves': 89, 'max_depth': 9}
INFO:__main__:Trial 3 - NDCG: 0.9385406701903173, Hyperparameters: {'learning_rate': 0.10050309277246816, 'num_leaves': 6, 'max_depth': 12}
INFO:__main__:Trial 4 - NDCG: 0.9581820401773443, Hyperparameters: {'learning_rate': 0.9475931109609825, 'num_leaves': 248, 'max_depth': 3}
INFO:__main__:Trial 0 - NDCG: 0.9434414572896878, Hyperparameters: {'learning_rate': 0.9065878408616466, 'num_leaves': 170, 'max_depth': 5}
INFO:__main__:Trial 1 - NDCG: 0.9167206211673273, Hyperparameters: {'learning_rate': 0.3389217416086955, 'num_leaves': 35, 'max_depth': 17}
INFO:__main__:Trial 2 - NDCG: 0.9582706136469495, Hyperparameters: {'learning_rate': 0.36204305164698003, 'num_leaves': 206, 'max_depth': 4}
INFO:__main__:Trial 3 - NDCG: 0.3572297864657654, Hyperparameters: {'learning_rate': 0.9355657784693684, 'num_leaves': 249, 'max_depth': 11}
INFO:__main__:Trial 4 - NDCG: 0.77152687482433, Hyperparameters: {'learning_rate': 0.837122572969347, 'num_leaves': 43, 'max_depth': 13}
INFO:__main__:Trial 5 - NDCG: 0.9062354044433302, Hyperparameters: {'learning_rate': 0.9230562835259379, 'num_leaves': 168, 'max_depth': 18}
INFO:__main__:Trial 6 - NDCG: 0.9100065963326553, Hyperparameters: {'learning_rate': 0.36924803591556965, 'num_leaves': 33, 'max_depth': 16}
INFO:__main__:Trial 7 - NDCG: 0.9183104987481165, Hyperparameters: {'learning_rate': 0.9493940411992537, 'num_leaves': 103, 'max_depth': 4}
INFO:__main__:Trial 8 - NDCG: 0.9136640779155286, Hyperparameters: {'learning_rate': 0.4102890230595803, 'num_leaves': 69, 'max_depth': 10}
INFO:__main__:Trial 9 - NDCG: 0.9281017789936727, Hyperparameters: {'learning_rate': 0.8536012109285116, 'num_leaves': 40, 'max_depth': 5}
INFO:__main__:Trial 10 - NDCG: 0.759893673361808, Hyperparameters: {'learning_rate': 0.01903494271752515, 'num_leaves': 256, 'max_depth': 1}
INFO:__main__:Trial 11 - NDCG: 0.90397968925106, Hyperparameters: {'learning_rate': 0.6370871793742774, 'num_leaves': 184, 'max_depth': 7}
INFO:__main__:Trial 12 - NDCG: 0.9593763772457786, Hyperparameters: {'learning_rate': 0.618997246079416, 'num_leaves': 194, 'max_depth': 1}
INFO:__main__:Trial 13 - NDCG: 0.9576607873758302, Hyperparameters: {'learning_rate': 0.6134506922200498, 'num_leaves': 208, 'max_depth': 1}
INFO:__main__:Trial 14 - NDCG: 0.9643707088722826, Hyperparameters: {'learning_rate': 0.20815690907166637, 'num_leaves': 125, 'max_depth': 3}
INFO:__main__:Trial 15 - NDCG: 0.9256825438639126, Hyperparameters: {'learning_rate': 0.13741501837895642, 'num_leaves': 124, 'max_depth': 1}
INFO:__main__:Trial 16 - NDCG: 0.9508005799229866, Hyperparameters: {'learning_rate': 0.18861268769573597, 'num_leaves': 140, 'max_depth': 7}
INFO:__main__:Trial 17 - NDCG: 0.9309657100829135, Hyperparameters: {'learning_rate': 0.6109876246253306, 'num_leaves': 93, 'max_depth': 20}
INFO:__main__:Trial 18 - NDCG: 0.8982483733386448, Hyperparameters: {'learning_rate': 0.745637378493221, 'num_leaves': 142, 'max_depth': 8}
INFO:__main__:Trial 19 - NDCG: 0.956180399603998, Hyperparameters: {'learning_rate': 0.5052494840716959, 'num_leaves': 211, 'max_depth': 3}
INFO:__main__:Trial 20 - NDCG: 0.9514676283793074, Hyperparameters: {'learning_rate': 0.21090041639585727, 'num_leaves': 105, 'max_depth': 3}
INFO:__main__:Trial 21 - NDCG: 0.9617618545140513, Hyperparameters: {'learning_rate': 0.2998442951289425, 'num_leaves': 225, 'max_depth': 3}
INFO:__main__:Trial 22 - NDCG: 0.9534728987074861, Hyperparameters: {'learning_rate': 0.2521995654724686, 'num_leaves': 221, 'max_depth': 2}
INFO:__main__:Trial 23 - NDCG: 0.9138236744359199, Hyperparameters: {'learning_rate': 0.4907633470182956, 'num_leaves': 238, 'max_depth': 6}
INFO:__main__:Trial 24 - NDCG: 0.9367187700990881, Hyperparameters: {'learning_rate': 0.04866412745550469, 'num_leaves': 179, 'max_depth': 9}
INFO:__main__:Trial 25 - NDCG: 0.9637628986244284, Hyperparameters: {'learning_rate': 0.2949382946034634, 'num_leaves': 154, 'max_depth': 3}
INFO:__main__:Trial 26 - NDCG: 0.9147072749927424, Hyperparameters: {'learning_rate': 0.27396381442868406, 'num_leaves': 125, 'max_depth': 12}
INFO:__main__:Trial 27 - NDCG: 0.9372279765300294, Hyperparameters: {'learning_rate': 0.12001076989209611, 'num_leaves': 157, 'max_depth': 14}
INFO:__main__:Trial 28 - NDCG: 0.9641541679639548, Hyperparameters: {'learning_rate': 0.4545181745899579, 'num_leaves': 79, 'max_depth': 3}
INFO:__main__:Trial 29 - NDCG: 0.9497939769343813, Hyperparameters: {'learning_rate': 0.4455740942713883, 'num_leaves': 2, 'max_depth': 6}
INFO:__main__:Trial 30 - NDCG: 0.8808113502322761, Hyperparameters: {'learning_rate': 0.5523714831075638, 'num_leaves': 77, 'max_depth': 5}
INFO:__main__:Trial 31 - NDCG: 0.9616368959061529, Hyperparameters: {'learning_rate': 0.295544813738814, 'num_leaves': 78, 'max_depth': 3}
INFO:__main__:Trial 32 - NDCG: 0.922157642854359, Hyperparameters: {'learning_rate': 0.3219647888963313, 'num_leaves': 152, 'max_depth': 4}
INFO:__main__:Trial 33 - NDCG: 0.9119679466169852, Hyperparameters: {'learning_rate': 0.4177276846915684, 'num_leaves': 115, 'max_depth': 3}
INFO:__main__:Trial 34 - NDCG: 0.9504865585892414, Hyperparameters: {'learning_rate': 0.12409141390361293, 'num_leaves': 87, 'max_depth': 6}
INFO:__main__:Trial 35 - NDCG: 0.9630519173252419, Hyperparameters: {'learning_rate': 0.2169533372598785, 'num_leaves': 64, 'max_depth': 2}
INFO:__main__:Trial 36 - NDCG: 0.9367354140501535, Hyperparameters: {'learning_rate': 0.21234656097350535, 'num_leaves': 58, 'max_depth': 2}
INFO:__main__:Trial 37 - NDCG: 0.9219211007621545, Hyperparameters: {'learning_rate': 0.3794087082375157, 'num_leaves': 57, 'max_depth': 5}
INFO:__main__:Trial 38 - NDCG: 0.9508270049758516, Hyperparameters: {'learning_rate': 0.14793775043288332, 'num_leaves': 25, 'max_depth': 2}
INFO:__main__:Trial 39 - NDCG: 0.9391183725007475, Hyperparameters: {'learning_rate': 0.08300320578739223, 'num_leaves': 108, 'max_depth': 4}
INFO:__main__:Trial 40 - NDCG: 0.9621738908922249, Hyperparameters: {'learning_rate': 0.35091616876835385, 'num_leaves': 21, 'max_depth': 8}
INFO:__main__:Trial 41 - NDCG: 0.9111877182092116, Hyperparameters: {'learning_rate': 0.3404946272420324, 'num_leaves': 11, 'max_depth': 10}
INFO:__main__:Trial 42 - NDCG: 0.9505660769012608, Hyperparameters: {'learning_rate': 0.22530942964440265, 'num_leaves': 59, 'max_depth': 8}
INFO:__main__:Trial 43 - NDCG: 0.9617988217506982, Hyperparameters: {'learning_rate': 0.45391988237444314, 'num_leaves': 29, 'max_depth': 4}
INFO:__main__:Trial 44 - NDCG: 0.9220767032287294, Hyperparameters: {'learning_rate': 0.38056588972585276, 'num_leaves': 22, 'max_depth': 15}
INFO:__main__:Trial 45 - NDCG: 0.9513094302064901, Hyperparameters: {'learning_rate': 0.2546050248262536, 'num_leaves': 47, 'max_depth': 2}
INFO:__main__:Trial 46 - NDCG: 0.9519815319072433, Hyperparameters: {'learning_rate': 0.16325219367831495, 'num_leaves': 89, 'max_depth': 5}
INFO:__main__:Trial 47 - NDCG: 0.9617039625628433, Hyperparameters: {'learning_rate': 0.34414530096138374, 'num_leaves': 168, 'max_depth': 7}
INFO:__main__:Trial 48 - NDCG: 0.7941292494902176, Hyperparameters: {'learning_rate': 0.9971785445750361, 'num_leaves': 139, 'max_depth': 11}
INFO:__main__:Trial 49 - NDCG: 0.9503640784287881, Hyperparameters: {'learning_rate': 0.5167028562205308, 'num_leaves': 71, 'max_depth': 1}
INFO:__main__:Trial 50 - NDCG: 0.9615364581808543, Hyperparameters: {'learning_rate': 0.40486336672984513, 'num_leaves': 46, 'max_depth': 18}
INFO:__main__:Trial 51 - NDCG: 0.9185543084996881, Hyperparameters: {'learning_rate': 0.4556703253199683, 'num_leaves': 28, 'max_depth': 4}
INFO:__main__:Trial 52 - NDCG: 0.9371932198644118, Hyperparameters: {'learning_rate': 0.4437446741691047, 'num_leaves': 17, 'max_depth': 2}
INFO:__main__:Trial 53 - NDCG: 0.9029900545490871, Hyperparameters: {'learning_rate': 0.5605109138226105, 'num_leaves': 32, 'max_depth': 4}
INFO:__main__:Trial 54 - NDCG: 0.9158900543544762, Hyperparameters: {'learning_rate': 0.2905659705476732, 'num_leaves': 39, 'max_depth': 5}
INFO:__main__:Trial 55 - NDCG: 0.9505861358220402, Hyperparameters: {'learning_rate': 0.2438485579732575, 'num_leaves': 2, 'max_depth': 1}
INFO:__main__:Trial 56 - NDCG: 0.9082807975377984, Hyperparameters: {'learning_rate': 0.6761482166865661, 'num_leaves': 52, 'max_depth': 3}
INFO:__main__:Trial 57 - NDCG: 0.9372396334106647, Hyperparameters: {'learning_rate': 0.18336369062367813, 'num_leaves': 96, 'max_depth': 6}
INFO:__main__:Trial 58 - NDCG: 0.963874705340632, Hyperparameters: {'learning_rate': 0.3136806421872504, 'num_leaves': 114, 'max_depth': 4}
INFO:__main__:Trial 59 - NDCG: 0.9612640328981683, Hyperparameters: {'learning_rate': 0.3228113007139146, 'num_leaves': 117, 'max_depth': 2}
